id,censored,time,how_end,sex,race,age,education,parent
3911,TRUE,19.5,Censored,Female,White or Other,22,High school,FALSE
3912,FALSE,6.083333333333333,Divorced,Female,White or Other,18.25,Less than high school,TRUE
3913,TRUE,9.583333333333334,Censored,Female,White or Other,31.916666666666668,High school,TRUE
3916,FALSE,14.666666666666666,Divorced,Female,White or Other,21.416666666666668,High school,FALSE
3920,FALSE,10.583333333333334,Divorced,Female,Black,30.666666666666668,High school,TRUE
3930,FALSE,9.833333333333334,Legally Separated,Female,Hispanic,27.333333333333332,Less than high school,TRUE
3931,TRUE,11.416666666666666,Censored,Male,Hispanic,30.333333333333332,High school,TRUE
3932,TRUE,11.416666666666666,Censored,Female,Hispanic,29.833333333333332,High school,FALSE
3933,FALSE,1,Legally Separated,Female,Hispanic,20.416666666666668,Less than high school,FALSE
3934,TRUE,18.5,Censored,Female,Hispanic,22.666666666666668,High school,TRUE
3936,FALSE,0.5833333333333334,Legally Separated,Male,White or Other,23.25,Less than high school,FALSE
3937,TRUE,16.75,Censored,Female,White or Other,23.916666666666668,High school,FALSE
3938,TRUE,1.25,Censored,Male,White or Other,40,College,FALSE
3940,FALSE,6.583333333333333,Legally Separated,Female,Black,21.25,High school,FALSE
3941,FALSE,3.1666666666666665,Widowed,Female,White or Other,23.333333333333332,High school,TRUE
3943,FALSE,5.083333333333333,Divorced,Female,White or Other,24.583333333333332,High school,FALSE
3944,TRUE,9.416666666666666,Censored,Male,White or Other,31.833333333333332,College,FALSE
3945,TRUE,16.5,Censored,Female,White or Other,24.5,Less than high school,TRUE
3946,TRUE,12.75,Censored,Male,White or Other,26.25,High school,FALSE
3947,FALSE,2.5,Divorced,Male,White or Other,29.166666666666668,High school,FALSE
3950,TRUE,5,Censored,Male,White or Other,35.916666666666664,High school,TRUE
3952,FALSE,3.3333333333333335,Divorced,Female,White or Other,20.083333333333332,High school,TRUE
3954,TRUE,11,Censored,Female,White or Other,30.5,Less than high school,TRUE
3955,FALSE,6,Legally Separated,Female,White or Other,18.416666666666668,Less than high school,TRUE
3956,TRUE,11.916666666666666,Censored,Male,Black,29.833333333333332,High school,FALSE
3957,FALSE,12.083333333333334,Divorced,Male,Black,22.833333333333332,High school,TRUE
3958,FALSE,2.25,Legally Separated,Male,Black,35.166666666666664,Less than high school,TRUE
3960,TRUE,0.4166666666666667,Censored,Male,Black,40.916666666666664,High school,TRUE
3962,TRUE,17.583333333333332,Censored,Male,White or Other,23.166666666666668,High school,FALSE
3965,FALSE,8.75,Divorced,Female,White or Other,26.833333333333332,High school,FALSE
3966,FALSE,14.833333333333334,Divorced,Female,White or Other,22.5,High school,FALSE
3967,TRUE,5.083333333333333,Censored,Male,White or Other,36.25,College,FALSE
3968,TRUE,15.666666666666666,Censored,Female,White or Other,25.75,High school,FALSE
3969,TRUE,1.1666666666666667,Censored,Male,White or Other,40,College,FALSE
3970,FALSE,3.75,Divorced,Female,White or Other,34,High school,TRUE
3971,FALSE,4.75,Legally Separated,Female,White or Other,23.166666666666668,High school,FALSE
3972,FALSE,6.083333333333333,Divorced,Female,White or Other,20.583333333333332,High school,TRUE
3974,FALSE,5.666666666666667,Legally Separated,Male,Black,34.666666666666664,High school,FALSE
3975,TRUE,18.416666666666668,Censored,Female,White or Other,22.916666666666668,High school,FALSE
3977,TRUE,8,Censored,Female,White or Other,27,High school,TRUE
3978,TRUE,10.333333333333334,Censored,Female,White or Other,27.5,College,FALSE
3979,FALSE,1.25,Legally Separated,Female,White or Other,21.25,High school,FALSE
3981,FALSE,2.4166666666666665,Divorced,Male,White or Other,23.833333333333332,Less than high school,FALSE
3982,FALSE,9.75,Divorced,Female,White or Other,29.5,College,FALSE
3983,TRUE,18.416666666666668,Censored,Female,White or Other,22.833333333333332,High school,TRUE
3985,FALSE,4.083333333333333,Widowed,Female,White or Other,29.75,High school,TRUE
3986,FALSE,6.333333333333333,Divorced,Male,White or Other,20.75,Less than high school,FALSE
3988,TRUE,8.083333333333334,Censored,Male,White or Other,22.083333333333332,High school,FALSE
3990,TRUE,1.4166666666666667,Censored,Female,White or Other,24.75,High school,TRUE
3992,FALSE,7,Divorced,Female,White or Other,20.416666666666668,High school,FALSE
3993,FALSE,2.4166666666666665,Divorced,Male,White or Other,22.333333333333332,Less than high school,TRUE
3995,TRUE,12.083333333333334,Censored,Male,White or Other,28.666666666666668,High school,TRUE
4000,TRUE,15.333333333333334,Censored,Female,White or Other,25.666666666666668,College,FALSE
4001,FALSE,5.5,Divorced,Male,White or Other,22.666666666666668,High school,FALSE
4002,TRUE,17.25,Censored,Male,White or Other,24.083333333333332,High school,FALSE
4003,TRUE,17.333333333333332,Censored,Male,White or Other,24.166666666666668,College,FALSE
4004,TRUE,1.3333333333333333,Censored,Male,Hispanic,38.25,College,FALSE
4005,TRUE,8,Censored,Male,White or Other,32.833333333333336,College,FALSE
4007,FALSE,8.583333333333334,Divorced,Male,White or Other,18.25,Less than high school,FALSE
4008,FALSE,4.416666666666667,Divorced,Male,White or Other,34.833333333333336,College,FALSE
4009,TRUE,17.833333333333332,Censored,Male,White or Other,23.166666666666668,High school,FALSE
4010,TRUE,21,Censored,Female,White or Other,20.666666666666668,High school,FALSE
4011,TRUE,18.833333333333332,Censored,Male,White or Other,22.916666666666668,College,FALSE
4013,TRUE,3.3333333333333335,Censored,Male,White or Other,37.583333333333336,College,FALSE
4014,TRUE,5.083333333333333,Censored,Male,White or Other,36.25,High school,TRUE
4015,FALSE,1.5,Divorced,Female,White or Other,23.666666666666668,High school,FALSE
4016,FALSE,6.583333333333333,Legally Separated,Male,White or Other,24.166666666666668,High school,FALSE
4017,TRUE,8.333333333333334,Censored,Female,White or Other,30.583333333333332,High school,FALSE
4018,TRUE,16.833333333333332,Censored,Female,White or Other,24.75,College,FALSE
4019,TRUE,10.416666666666666,Censored,Female,White or Other,31.333333333333332,High school,FALSE
4020,TRUE,4.5,Censored,Female,White or Other,37.5,High school,FALSE
4021,FALSE,7.75,Divorced,Male,White or Other,27.583333333333332,High school,FALSE
